universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSPI200,006650,대한유화,71.8,돌파 후 눌림목,,추가 확인,98500.0,97463.33,-8.76,1.06,-1.61,-10.7,2026-09-18,2026-09-18,0,N,1.03,-4.83,-86.5,67.8,-16.9,10.3,-8645332450,6776683450,-1691762250,1029988850
KOSDAQ150,263750,펄어비스,71.5,돌파 후 눌림목,,건강한 눌림,34500.0,34104.17,-6.43,1.16,-2.57,-4.7,2026-09-15,2026-09-15,3,Y,0.66,1.02,-1.4,21.3,5.2,-2.4,-140251275,2128588675,520639475,-235123500
KOSDAQ150,257720,실리콘투,71.2,돌파 후 눌림목,,추가 확인,41300.0,40777.5,11.44,1.28,-6.81,-12.41,,,,Y,0.52,-9.03,-441.3,326.3,-25.1,-29.7,-44130301775,32625144575,-2510238800,-2967460925
KOSPI200,002790,아모레퍼시픽홀딩스,70.7,돌파 후 눌림목,,매도압력 확인,26050.0,25268.33,5.0,3.09,-1.83,-2.43,,,,Y,1.58,-1.33,-8.2,22.4,-18.7,18.3,-821625175,2240284925,-1869921400,1832003700
KOSDAQ150,211050,인카금융서비스,70.6,돌파 후 눌림목,,건강한 눌림,10500.0,10347.33,3.68,1.48,-2.96,-4.98,,,,Y,0.72,-2.14,-5.5,8.4,-4.3,5.8,-553036740,837043060,-433292400,575352280
KOSDAQ150,278280,천보,70.5,돌파 후 눌림목,,추가 확인,37000.0,36456.67,-3.72,1.49,-1.27,-8.07,,,,Y,0.7,-0.94,9.6,-2.4,0.8,-0.9,957071625,-244733800,76679725,-87333500
KOSPI200,051600,한전KPS,70.5,돌파 후 눌림목,,추가 확인,47050.0,45610.83,-2.41,3.16,-1.67,-4.56,,,,Y,1.12,0.11,-70.8,37.8,-36.0,21.5,-7077616775,3780586850,-3598520225,2148422475
KOSPI200,000810,삼성화재,70.0,돌파 후 눌림목,,추가 확인,655000.0,644333.33,0.69,1.66,-0.98,-4.52,,,,Y,0.79,-2.67,-93.4,4.8,-129.3,63.4,-9335296000,482941500,-12927952000,6340773500
KOSPI200,000210,DL,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,54900.0,48766.67,1.07,12.58,2.43,-1.96,,,,Y,0.94,4.17,-58.4,77.9,-31.3,34.1,-5838482300,7789374100,-3134629150,3407935250
KOSDAQ150,100790,미래에셋벤처투자,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,17670.0,15584.5,-30.48,13.38,11.14,0.0,2026-09-15,2026-09-15,3,Y,1.15,12.19,-21.7,0.5,-22.6,1.3,-2171910655,53959515,-2261497140,127320765
KOSPI200,062040,산일전기,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,211000.0,184810.0,-6.94,14.17,12.17,0.0,,,,Y,1.0,8.37,346.6,-24.0,186.4,117.4,34662675400,-2401158000,18635650950,11742562600
KOSPI200,007340,DN오토모티브,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,49600.0,43259.17,3.82,14.66,8.35,0.0,,,,Y,0.72,8.65,-21.6,34.4,-20.4,31.0,-2161398075,3435172475,-2040277500,3101162950
KOSDAQ150,183300,코미코,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,30850.0,26814.37,-15.71,15.05,18.32,0.0,2026-09-16,2026-09-16,2,Y,1.0,17.52,-3.4,86.6,7.4,74.7,-340120550,8661041350,741093100,7467439625
KOSDAQ150,025980,아난티,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,5160.0,4388.08,3.53,17.59,-1.94,-5.67,,,,Y,0.36,3.2,0.8,1.3,-3.2,0.2,77407100,134099075,-315156590,24533575
KOSDAQ150,253590,네오셈,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,12270.0,10355.33,-6.29,18.49,7.26,-1.05,,,,Y,0.99,10.74,8.9,-0.9,5.6,0.0,894916600,-87926030,556636685,2738800
KOSPI200,128940,한미약품,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,505000.0,423925.0,3.94,19.12,0.67,-1.94,,,,Y,0.7,7.79,-688.0,1248.8,-270.1,399.3,-68802344750,124875145750,-27010970500,39933305500
KOSPI200,022100,포스코DX,68.6,돌파 후 눌림목,,추가 확인,20950.0,20510.5,-10.38,2.14,-3.4,-5.42,,,,Y,0.19,-2.78,-22.2,0.7,-24.1,5.9,-2216760550,67235525,-2412326875,588988350
KOSPI200,011200,HMM,68.0,신규 돌파,,,20950.0,20674.67,2.47,1.33,0.54,-2.33,2026-09-17,2026-09-17,1,N,0.76,-0.71,-25.5,105.1,44.9,40.7,-2545588975,10510679450,4489497725,4074351675
KOSPI200,361610,SK아이이테크놀로지,67.9,돌파 후 눌림목,,건강한 눌림,15900.0,15285.0,-3.92,4.02,-3.17,-10.52,,,,Y,0.4,1.92,-22.5,50.8,-6.3,21.4,-2254271095,5077833610,-630644165,2140131830
KOSDAQ150,131290,티에스이,67.6,신규 돌파 유지,,,243000.0,237178.33,2.71,2.45,0.7,-20.72,2026-09-15,2026-09-15,3,Y,0.47,2.97,-175.7,-38.3,-112.9,21.9,-17567448500,-3831218500,-11288770500,2194888500
KOSPI200,066570,LG전자,67.3,돌파 후 눌림목,,추가 확인,198700.0,190641.67,-8.67,4.23,-1.4,-7.15,,,,Y,0.76,1.95,216.8,-22.6,-200.0,6.5,21675667450,-2258575700,-19996692650,653769750
KOSPI200,004990,롯데지주,66.9,돌파 후 눌림목,,매도압력 확인,24650.0,23620.0,-1.69,4.36,-1.84,-2.18,,,,Y,1.47,-2.18,-39.7,44.7,-25.4,19.6,-3971973350,4466045075,-2538981200,1963772825
KOSPI200,298050,HS효성첨단소재,66.8,돌파 후 눌림목,,매도압력 확인,165900.0,164168.33,-4.81,1.05,-1.36,-3.83,,,,Y,0.54,-2.93,-11.7,-0.8,-13.2,3.7,-1167585900,-81472900,-1321520050,369825350
KOSPI200,003030,세아제강지주,66.7,신규 돌파,,,109600.0,105966.67,-9.93,3.43,5.12,0.0,2026-09-17,2026-09-17,1,N,0.85,4.08,7.9,-3.0,5.0,-1.1,790552050,-300552550,501825200,-110609450
KOSPI200,073240,금호타이어,66.7,돌파 후 눌림목,,건강한 눌림,7040.0,6740.58,14.1,4.44,-2.97,-8.33,,,,Y,0.46,-0.14,24.3,-1.1,4.8,1.4,2432814290,-106799705,483139905,142463180
KOSPI200,139130,iM금융지주,66.5,돌파 후 눌림목,,추가 확인,18190.0,17687.0,1.75,2.84,-1.32,-3.19,,,,Y,0.96,-3.19,-18.5,20.9,-18.4,8.3,-1851352920,2090542675,-1836287375,830694300
KOSPI200,086790,하나금융지주,66.1,돌파 후 눌림목,,추가 확인,133700.0,129866.67,4.26,2.95,-3.75,-4.77,,,,Y,0.97,-4.77,-323.6,224.7,-314.4,161.2,-32357263850,22471916900,-31435441600,16118440050
KOSPI200,105560,KB금융,65.7,돌파 후 눌림목,,건강한 눌림,175700.0,170423.33,3.03,3.1,-1.12,-3.04,,,,Y,0.95,-3.04,-1150.4,1132.5,-100.5,137.1,-115044988600,113247047000,-10045108750,13710019350
KOSPI200,003550,LG,65.5,돌파 후 눌림목,,건강한 눌림,112100.0,106931.67,-0.54,4.83,-1.81,-9.96,,,,Y,0.74,0.54,-76.0,118.9,-29.0,32.2,-7601170200,11887692500,-2904059450,3224197150
KOSPI200,005420,코스모화학,65.3,돌파 후 눌림목,,매도압력 확인,10420.0,10095.0,-5.73,3.22,-1.06,-5.62,,,,Y,0.74,-0.19,-1.7,-0.3,-1.5,0.9,-174694655,-28374225,-145992315,85927885
KOSDAQ150,204270,제이앤티씨,65,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,23700.0,17581.17,4.01,34.8,11.18,0.0,,,,Y,1.13,7.97,-33.7,-3.1,-19.9,0.2,-3369945775,-310592000,-1994226575,22125550
KOSPI200,007660,이수페타시스,64.8,돌파 후 눌림목,,매도압력 확인,102400.0,99036.67,-4.06,3.4,-2.94,-9.38,,,,Y,1.36,-3.03,-499.7,-576.4,-652.3,-441.4,-49972899900,-57642262900,-65230387200,-44138142000
KOSDAQ150,214430,아이쓰리시스템,63.6,신규 돌파,,,62200.0,61505.0,-5.57,1.13,6.64,0.0,2026-09-18,2026-09-18,0,N,0.99,3.84,-0.8,-2.2,-1.3,-2.0,-80459700,-218283100,-128318900,-202000800
KOSPI200,120110,코오롱인더,63.0,신규 돌파,,,57600.0,55035.83,-7.28,4.66,7.76,0.0,2026-09-17,2026-09-17,1,N,0.64,5.11,-79.4,40.1,-40.0,32.7,-7935770350,4009544100,-3997711350,3272971700
KOSPI200,282330,BGF리테일,62.5,돌파 후 눌림목,,매도압력 확인,137600.0,134226.67,5.66,2.51,-3.37,-8.39,,,,Y,0.95,-4.18,-1.6,-1.2,-0.5,-2.9,-159878350,-115006250,-49594150,-292604500
KOSDAQ150,445680,큐리옥스바이오시스템즈,62.4,돌파 후 눌림목,,추가 확인,46000.0,44142.5,-14.26,4.21,-6.45,-9.27,,,,Y,0.65,-2.13,-26.9,6.7,-4.1,0.2,-2690276850,674488650,-413913550,22508000
KOSPI200,069260,TKG휴켐스,62.0,돌파 후 눌림목,,매도압력 확인,16210.0,15788.5,0.37,2.67,-1.08,-2.41,,,,Y,0.92,-1.76,-5.0,-0.1,-5.4,2.4,-503219000,-5588210,-538360445,235390150
KOSPI200,055550,신한지주,60.8,돌파 후 눌림목,,추가 확인,111100.0,106086.67,3.88,4.73,-1.54,-3.39,,,,Y,0.93,-3.39,-522.2,543.7,-265.2,245.1,-52217468150,54369437950,-26523050100,24513470950
KOSPI200,003490,대한항공,60.6,돌파 후 눌림목,,건강한 눌림,29150.0,27377.5,2.86,6.47,-1.23,-3.95,,,,Y,0.6,-1.69,72.5,156.3,-26.1,52.2,7251909150,15634978050,-2606030175,5217655875
KOSDAQ150,058610,에스피지,60,돌파 후 눌림목,,매도압력 확인,99100.0,88788.33,-2.26,11.61,-9.52,-6.95,,,,Y,1.43,11.35,66.0,-10.9,-3.1,-22.8,6595426050,-1092139200,-313177200,-2281589450
KOSDAQ150,101730,위메이드맥스,60,돌파 후 눌림목,,매도압력 확인,4625.0,4104.42,6.64,12.68,-11.18,-11.06,,,,Y,3.26,-11.06,1.5,0.5,0.1,0.4,149381133,48667301,7759373,43555969
KOSPI200,096770,SK이노베이션,60,돌파 후 눌림목,,추가 확인,137000.0,119371.67,7.52,14.77,-6.23,-10.75,,,,Y,0.56,2.32,142.4,0.6,-3.4,-46.8,14238542850,58958700,-344663750,-4680297550
KOSDAQ150,437730,삼현,60,돌파 후 눌림목,,매도압력 확인,51000.0,35543.33,-9.75,43.49,-6.96,-3.23,,,,Y,2.35,28.79,-21.7,45.7,-17.5,-2.9,-2168283275,4566081875,-1747905150,-286887150
KOSPI200,051900,LG생활건강,59.7,돌파 후 눌림목,,추가 확인,293500.0,279233.33,7.65,5.11,-4.61,-2.98,,,,Y,1.03,-1.18,-109.3,211.4,-44.4,35.7,-10934179500,21136883000,-4437753750,3568862250
KOSPI200,071320,지역난방공사,58.5,돌파 후 눌림목,,건강한 눌림,74900.0,69896.67,2.71,7.16,-0.87,-1.58,,,,Y,0.91,0.27,-5.3,5.0,-3.0,4.1,-525438200,499009550,-300128700,410264500
KOSDAQ150,122870,와이지엔터테인먼트,57.4,돌파 후 눌림목,,추가 확인,43600.0,41179.17,-1.63,5.88,-2.95,-2.57,,,,Y,0.92,-1.36,-73.2,6.5,-30.4,-2.6,-7324489150,654593050,-3043664950,-259263825
KOSPI200,011170,롯데케미칼,57.3,돌파 후 눌림목,,추가 확인,63600.0,60056.67,-8.24,5.9,-1.7,-6.19,,,,Y,1.07,-2.15,-217.5,207.4,-85.8,80.0,-21754904600,20740250700,-8583188300,7995171600
KOSPI200,138040,메리츠금융지주,56.9,돌파 후 눌림목,,건강한 눌림,126700.0,119480.0,5.64,6.04,-1.15,-5.24,,,,Y,0.84,-4.02,-279.9,278.6,-99.0,111.1,-27992184300,27858101950,-9902269550,11110676450
KOSDAQ150,006730,서부T&D,56.9,돌파 후 눌림목,,추가 확인,11160.0,10523.67,0.91,6.05,-1.54,-4.45,,,,Y,1.03,-1.76,-9.7,8.7,-16.5,-0.4,-974365710,867954640,-1647159730,-36736135
KOSDAQ150,003380,하림지주,56.2,돌파 후 눌림목,,추가 확인,11100.0,10445.17,1.56,6.27,-2.37,-3.14,,,,Y,0.78,-2.37,-28.2,23.1,-23.8,17.7,-2824290435,2308082760,-2384050675,1774586600
KOSDAQ150,025900,동화기업,55.2,돌파 후 눌림목,,매도압력 확인,6940.0,6613.17,-3.59,4.94,-1.71,-9.99,,,,Y,0.38,-1.42,-0.7,-0.2,-0.7,0.0,-69180760,-19395110,-74458750,1194490
KOSDAQ150,041510,에스엠,55,돌파 후 눌림목,,추가 확인,81600.0,74846.67,0.42,9.02,-9.09,-6.96,,,,Y,1.23,-5.66,-150.3,62.5,-48.6,-23.5,-15027141000,6246497100,-4860950900,-2350202300
KOSPI200,316140,우리금융지주,55,돌파 후 눌림목,,건강한 눌림,36150.0,32597.5,4.14,10.9,-1.63,-1.77,,,,Y,0.98,-1.77,284.8,198.6,-104.8,161.3,28480800500,19864103300,-10483411625,16125628475
KOSDAQ150,035760,CJ ENM,55,돌파 후 눌림목,,매도압력 확인,36600.0,32775.83,-3.11,11.67,-4.4,-5.06,,,,Y,1.33,-0.68,-5.4,6.8,-7.4,-9.8,-538794275,678034000,-740663850,-976175150
KOSPI200,003670,포스코퓨처엠,55,돌파 후 눌림목,,추가 확인,183300.0,162991.67,-4.42,12.46,-4.09,-5.03,,,,Y,0.76,3.62,-251.5,228.4,-155.1,4.8,-25145679150,22843873400,-15512770150,477632450
KOSPI200,078930,GS,55,돌파 후 눌림목,,건강한 눌림,114000.0,99143.33,19.32,14.99,-3.62,-9.24,,,,Y,0.67,-0.35,569.8,-374.7,52.6,31.4,56976978750,-37471958250,5262921850,3139097050
KOSPI200,112610,씨에스윈드,55,돌파 후 눌림목,,추가 확인,51800.0,44326.67,3.7,16.86,-3.98,-2.26,,,,Y,1.1,1.17,-51.9,133.2,-13.6,45.1,-5186685700,13317014250,-1357354400,4507956300
KOSPI200,161890,한국콜마,55,돌파 후 눌림목,,추가 확인,145500.0,121905.0,20.73,19.36,-2.48,-3.13,,,,Y,0.87,-0.21,-116.5,186.6,10.4,-43.0,-11645365250,18659637450,1044266000,-4296468700
KOSPI200,008930,한미사이언스,55,돌파 후 눌림목,,추가 확인,48900.0,40811.67,19.0,19.82,-8.89,-15.25,,,,Y,0.39,0.31,-53.5,69.3,-46.0,34.8,-5345554375,6928204350,-4599481325,3476371600
KOSDAQ150,031980,피에스케이홀딩스,55,돌파 후 눌림목,,추가 확인,159900.0,126550.0,5.39,26.35,-7.82,-4.25,,,,Y,0.96,4.72,173.7,-153.3,-11.9,-12.9,17366008900,-15333682650,-1185346450,-1287083450
KOSPI200,008730,율촌화학,53.8,60일선 위 추세,,,15100.0,14793.5,-4.62,2.07,-0.08,-7.02,,,,Y,1.15,-1.18,0.1,0.1,0.1,0.3,14298655,5755960,6139105,30716370
KOSPI200,280360,롯데웰푸드,52.0,돌파 후 눌림목,,건강한 눌림,127100.0,118035.0,10.68,7.68,-9.15,-12.16,,,,Y,0.57,-9.92,59.0,-33.4,19.8,-13.2,5898084550,-3342096350,1980435400,-1323952200
KOSPI200,014820,동원시스템즈,50.3,60일선 위 추세,,,21350.0,20681.33,1.7,3.23,0.4,-2.06,,,,Y,0.67,0.71,-2.5,1.9,-2.0,0.7,-249831075,194585325,-195062750,70159500
KOSPI200,300720,한일시멘트,50,돌파 후 눌림목,,건강한 눌림,16300.0,15017.5,5.38,8.54,-1.73,-3.26,,,,Y,0.54,-1.87,-3.5,8.4,-5.3,7.9,-345711865,839092665,-533546690,788457315
KOSPI200,034020,두산에너빌리티,50,돌파 후 눌림목,,매도압력 확인,85700.0,78673.33,-5.21,8.93,-0.98,-6.54,,,,Y,0.72,0.12,-1997.3,-1074.7,-634.7,-149.7,-199730607200,-107467859250,-63467694950,-14965622050
KOSPI200,090430,아모레퍼시픽,50,돌파 후 눌림목,,건강한 눌림,142700.0,130581.67,9.54,9.28,-3.04,-1.52,,,,Y,0.86,-1.18,-270.5,417.7,-103.0,108.0,-27051622850,41768267600,-10298597850,10801909650
KOSPI200,268280,미원에스씨,50,돌파 후 눌림목,,추가 확인,132900.0,121005.0,9.84,9.83,-2.55,-1.56,,,,Y,0.8,-0.45,-1.1,0.7,-0.4,0.1,-111198700,66476050,-37840700,11372250
KOSDAQ150,293490,카카오게임즈,50,돌파 후 눌림목,,추가 확인,9290.0,8372.83,-0.38,10.95,-7.36,-5.97,,,,Y,0.54,-2.21,-6.1,5.0,-1.1,-5.6,-614826615,497492595,-109993510,-555323580
KOSPI200,175330,JB금융지주,50,돌파 후 눌림목,,추가 확인,31050.0,27980.0,6.19,10.97,-4.93,-5.77,,,,Y,1.02,-5.34,-158.2,201.7,-38.5,32.1,-15821774600,20166470375,-3850097525,3205349125
KOSPI200,047040,대우건설,50,돌파 후 눌림목,,매도압력 확인,19020.0,17053.17,-7.77,11.53,-1.27,-4.76,,,,Y,0.56,3.71,-58.3,-228.7,-72.3,40.4,-5832385875,-22874519620,-7226802185,4036525200
KOSDAQ150,078340,컴투스,50,돌파 후 눌림목,,건강한 눌림,33450.0,29904.17,9.65,11.86,-4.23,-4.43,,,,Y,0.32,-4.29,12.6,-7.0,0.7,-0.2,1262379875,-697912800,66099700,-18018950
KOSPI200,005830,DB손해보험,50,돌파 후 눌림목,,추가 확인,188500.0,168333.33,9.71,11.98,-0.92,-2.73,,,,Y,0.95,-1.62,-149.7,95.5,-41.9,34.3,-14968659200,9549551850,-4186899800,3426896550
KOSPI200,000720,현대건설,50,돌파 후 눌림목,,매도압력 확인,125600.0,112096.67,-2.53,12.05,-3.17,-6.89,,,,Y,0.64,0.08,-207.0,-199.8,-88.8,26.6,-20700924100,-19984565400,-8877587950,2656114600
KOSPI200,001450,현대해상,50,돌파 후 눌림목,,건강한 눌림,48400.0,43034.17,11.87,12.47,-3.1,-5.65,,,,Y,1.09,-4.72,75.7,-40.9,10.8,1.7,7572389450,-4086868375,1083609600,167934425
KOSPI200,285130,SK케미칼,50,돌파 후 눌림목,,추가 확인,51200.0,45461.67,8.37,12.62,-8.08,-6.74,,,,Y,0.51,-3.76,-5.9,9.4,-3.3,-0.6,-585357300,944691250,-328498550,-64394900
KOSPI200,006400,삼성SDI,50,돌파 후 눌림목,,매도압력 확인,542000.0,479350.0,-0.92,13.07,-2.45,-5.57,,,,Y,0.68,2.07,-161.0,-171.7,-463.7,55.6,-16100383500,-17173773500,-46365034000,5555997000
KOSPI200,000880,한화,50,돌파 후 눌림목,,추가 확인,134100.0,116941.08,-3.88,14.67,-4.07,-5.56,,,,Y,0.51,-5.1,68.5,-17.4,-1.5,-2.2,6854850850,-1740159150,-150394800,-222148600
KOSDAQ150,014620,성광벤드,50,돌파 후 눌림목,,건강한 눌림,32300.0,28030.0,0.92,15.23,-5.54,-6.65,,,,Y,0.76,-6.1,-21.6,24.8,-7.4,9.3,-2163379125,2482429800,-744454250,929782800
KOSDAQ150,225570,넥슨게임즈,50,돌파 후 눌림목,,건강한 눌림,11180.0,9616.17,5.4,16.26,-6.87,-4.36,,,,Y,0.55,-3.87,-26.7,29.9,-13.8,14.3,-2665053020,2992484700,-1376370730,1428719880
